Brand,Dosage,Price,BrandName,DosageValue,DosageUnit,Form,Uses,Packaging,Composition,TherapeuticClass,Considerations,Contraindications
ACCUPRIL 5 MG,5.0 MG,37.5,ACCUPRIL,5.0,MG,Scratchy tablet,- high blood pressure; - Congestive heart failure.,28.0 box,Quinapril,Antihypertensive of the family of inhibitors of the angiotensin conversion enzyme,,
ACDigest,,,ACDigest,,,Capsule,Heaviness and ralling,Blister 30,Clay,,,
ACDigest,,,ACDigest,,,Capsule,Heaviness and ralling,Blister 30,Vegetable charcoal,,,
ACERUMEN,,,ACERUMEN,,,Unidose bottle,"A-CEUMEN is a soft solution of atrial hygiene based on surfactant agents recommended in children from 6 months and adults: to dissolve ceromen caps; In regular use, to facilitate the elimination of ceromen and prevent the formation of traffic jams. A-CEMENMEN will allow you to humidify and then dissolve the ceromen caps (dry and compacted ceromen). Once this ceromen has been eliminated, the ceromen used for protection and lubrication will be able to be secreted again in order to play its role.",09-30-00,Sweet surfactants (acylsarcosinate sodium and sucrose ester),,,
ACERUMEN,,,ACERUMEN,,,Unidose bottle,"A-CEUMEN is a soft solution of atrial hygiene based on surfactant agents recommended in children from 6 months and adults: to dissolve ceromen caps; In regular use, to facilitate the elimination of ceromen and prevent the formation of traffic jams. A-CEMENMEN will allow you to humidify and then dissolve the ceromen caps (dry and compacted ceromen). Once this ceromen has been eliminated, the ceromen used for protection and lubrication will be able to be secreted again in order to play its role.",09-30-00,humectant agent,,,
ACERUMEN,,,ACERUMEN,,,Unidose bottle,"A-CEUMEN is a soft solution of atrial hygiene based on surfactant agents recommended in children from 6 months and adults: to dissolve ceromen caps; In regular use, to facilitate the elimination of ceromen and prevent the formation of traffic jams. A-CEMENMEN will allow you to humidify and then dissolve the ceromen caps (dry and compacted ceromen). Once this ceromen has been eliminated, the ceromen used for protection and lubrication will be able to be secreted again in order to play its role.",09-30-00,Vegetable origin,,,
ACERUMEN,,,ACERUMEN,,,Unidose bottle,"A-CEUMEN is a soft solution of atrial hygiene based on surfactant agents recommended in children from 6 months and adults: to dissolve ceromen caps; In regular use, to facilitate the elimination of ceromen and prevent the formation of traffic jams. A-CEMENMEN will allow you to humidify and then dissolve the ceromen caps (dry and compacted ceromen). Once this ceromen has been eliminated, the ceromen used for protection and lubrication will be able to be secreted again in order to play its role.",09-30-00,100 %QSP excipients. Colored formula without preservatives,,,
ACERUMEN,,,ACERUMEN,,,Unidose bottle,"A-CEUMEN is a soft solution of atrial hygiene based on surfactant agents recommended in children from 6 months and adults: to dissolve ceromen caps; In regular use, to facilitate the elimination of ceromen and prevent the formation of traffic jams. A-CEMENMEN will allow you to humidify and then dissolve the ceromen caps (dry and compacted ceromen). Once this ceromen has been eliminated, the ceromen used for protection and lubrication will be able to be secreted again in order to play its role.",09-30-00,of natural origin.,,,
ACETHIO 500 MG / 2 MG,500.0 MG,34.6,ACETHIO,500.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Paracetamol,Analgesic,,
ACETHIO 500 MG / 2 MG,500.0 MG,34.6,ACETHIO,500.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Paracetamol,antipyretic,,
ACETHIO 500 MG / 2 MG,500.0 MG,34.6,ACETHIO,500.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Paracetamol,relaxing and myorelaxing,,
ACETHIO 500 MG / 2 MG,500.0 MG,34.6,ACETHIO,500.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Thiocolchicoside,Analgesic,,
ACETHIO 500 MG / 2 MG,500.0 MG,34.6,ACETHIO,500.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Thiocolchicoside,antipyretic,,
ACETHIO 500 MG / 2 MG,500.0 MG,34.6,ACETHIO,500.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Thiocolchicoside,relaxing and myorelaxing,,
ACETHIO 500 MG / 2 MG,2.0 MG,34.6,ACETHIO,2.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Paracetamol,Analgesic,,
ACETHIO 500 MG / 2 MG,2.0 MG,34.6,ACETHIO,2.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Paracetamol,antipyretic,,
ACETHIO 500 MG / 2 MG,2.0 MG,34.6,ACETHIO,2.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Paracetamol,relaxing and myorelaxing,,
ACETHIO 500 MG / 2 MG,2.0 MG,34.6,ACETHIO,2.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Thiocolchicoside,Analgesic,,
ACETHIO 500 MG / 2 MG,2.0 MG,34.6,ACETHIO,2.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Thiocolchicoside,antipyretic,,
ACETHIO 500 MG / 2 MG,2.0 MG,34.6,ACETHIO,2.0,MG,Compressed Tablet,Actoint treatment for painful muscle contractures in rheumatology.,Box of 20,Thiocolchicoside,relaxing and myorelaxing,,
ACFOL 5 MG,5.0 MG,24.5,ACFOL,5.0,MG,Compressed Tablet,"Prevention and treatment of folic acid deficiency in pregnant women for the prevention of neural tube abnormalities (spina bifida, anencephalia, encephalocele) and other congenital anomalies, especially in women who have a child or a fetus carrying these anomalies of the neural tube. Treatment of folic acid deficiency associated with conditions such as: megaloblastic anemia, alcoholism, malabsorption syndrome.",Box of 28,Folic acid,Anti -American,,
ACICLOVIR MYLAN 250 MG,250.0 MG,628.0,ACICLOVIR MYLAN,250.0,MG,Injectable solution powder (IV),"In the immunocompromised subject - Virus zona (VZV) virus virus infections, - Herpes Simplex virus infection (HSV). In the Immunocompent subject infections in VZV - Zona serious by the extension or by the scalability of lesions, - chickenpox in pregnant women whose eruption occurs in the 8 to 10 days before childbirth, - chickenpox of the newborn, - the newborn before any eruption, when the mother started a chickenpox in the previous 5 days and the following 2 days, An, - complicated chickenpox, in particular chicken pneumonia, HSV infections - Severe herpetic genital infection, - treatment of acute herpetic gingivo -stomatitis, when functional discomfort makes the oral route impossible, - Treatment of Kaposi Juliusberg syndrome, - Treatment of herpetic meningephalitis.",Box of 5 10 ml bottles,Aciclovir,Antiviral,,
ACIDE ALENDRONIQUE GT 70 MG,70.0 MG,164.5,ACIDE ALENDRONIQUE GT,70.0,MG,Film-coated tablet,"Bone metabolism regulator, bisphosphonate",Box of 4,Alendronate,Bone metabolism regulator,,
ACIDE ALENDRONIQUE GT 70 MG,70.0 MG,164.5,ACIDE ALENDRONIQUE GT,70.0,MG,Film-coated tablet,"Bone metabolism regulator, bisphosphonate",Box of 4,Alendronate,bisphosphonate,,
ACIDE ALENDRONIQUE NORMON 70 MG,70.0 MG,184.5,ACIDE ALENDRONIQUE NORMON,70.0,MG,Compressed Tablet,"Bone metabolism regulator, bisphosphonate",Box of 4,Alendronate,Bone metabolism regulator,,
ACIDE ALENDRONIQUE NORMON 70 MG,70.0 MG,184.5,ACIDE ALENDRONIQUE NORMON,70.0,MG,Compressed Tablet,"Bone metabolism regulator, bisphosphonate",Box of 4,Alendronate,bisphosphonate,,
ACIDE ZOLEDRONIQUE COOPER 4 MG,4.0 MG,1356.0,ACIDE ZOLEDRONIQUE COOPER,4.0,MG,Lyophilisate and solvent and solvent for IV infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 10 ml lyophilisate and 5 ml solvent bulb,Zoledronic acid,Drugs for the treatment of bone diseases,,
ACIDE ZOLEDRONIQUE COOPER 4 MG,4.0 MG,1356.0,ACIDE ZOLEDRONIQUE COOPER,4.0,MG,Lyophilisate and solvent and solvent for IV infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 10 ml lyophilisate and 5 ml solvent bulb,Zoledronic acid,Bisphosphonate.,,
ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML,4.0 MG,1356.0,ACIDE ZOLEDRONIQUE MYLAN,4.0,MG,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",5 ml bottle,Zoledronic acid,Drugs for the treatment of bone diseases,,
ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML,4.0 MG,1356.0,ACIDE ZOLEDRONIQUE MYLAN,4.0,MG,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",5 ml bottle,Zoledronic acid,Bisphosphonate.,,
ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML,5.0 ML,1356.0,ACIDE ZOLEDRONIQUE MYLAN,5.0,ML,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",5 ml bottle,Zoledronic acid,Drugs for the treatment of bone diseases,,
ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML,5.0 ML,1356.0,ACIDE ZOLEDRONIQUE MYLAN,5.0,ML,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",5 ml bottle,Zoledronic acid,Bisphosphonate.,,
ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML,4.0 MG,1356.0,ACIDE ZOLEDRONIQUE PROMOPHARM,4.0,MG,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 5 ml,Zoledronic acid,Drugs for the treatment of bone diseases,,
ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML,4.0 MG,1356.0,ACIDE ZOLEDRONIQUE PROMOPHARM,4.0,MG,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 5 ml,Zoledronic acid,Bisphosphonate.,,
ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML,5.0 ML,1356.0,ACIDE ZOLEDRONIQUE PROMOPHARM,5.0,ML,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 5 ml,Zoledronic acid,Drugs for the treatment of bone diseases,,
ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML,5.0 ML,1356.0,ACIDE ZOLEDRONIQUE PROMOPHARM,5.0,ML,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 5 ml,Zoledronic acid,Bisphosphonate.,,
ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML,4.0 MG,1255.0,ACIDE ZOLEDRONIQUE SP,4.0,MG,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 5 ml,Zoledronic acid,Drugs for the treatment of bone diseases,,
ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML,4.0 MG,1255.0,ACIDE ZOLEDRONIQUE SP,4.0,MG,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 5 ml,Zoledronic acid,Bisphosphonate.,,
ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML,5.0 ML,1255.0,ACIDE ZOLEDRONIQUE SP,5.0,ML,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 5 ml,Zoledronic acid,Drugs for the treatment of bone diseases,,
ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML,5.0 ML,1255.0,ACIDE ZOLEDRONIQUE SP,5.0,ML,Solution to be diluted for infusion,"The active substance contained is the zolédronic acid which belongs to a group of substances called bisphosphonates. Zoledronic acid acts by focusing on the bone and slowing down the bone renewal rate. It is used: - to prevent bone complications, ex. Fractures, in adult patients with bone metastases (dissemination of main site cancer); - to reduce the calcium level in the blood of adult patients when it is high due to the presence of a tumor. Tumors can accelerate the usual bone renewal so that the amount of calcium released by the bone is increased. This pathology is called hypercalcemia induced by tumors.",Box of 1 bottle of 5 ml,Zoledronic acid,Bisphosphonate.,,
ACIGAM 100 MG,100.0 MG,27.0,ACIGAM,100.0,MG,Scratchy tablet,"They are limited, in adults and children from 15 kg (about 4 years old), at: - long -term symptomatic treatment: * chronic inflammatory rheumatism, including rheumatoid arthritis, * of certain painful and disabling arthosis; - short-term symptomatic treatment: * acute osteoarthritis, low back pain, * acute post-traumatic benign conditions of the locomotor system; - dysmenorrhea after etiological research; - Symptomatic treatment of pain during inflammatory manifestations in the ENT and stomatological fields. In this indication, the risks involved, in particular the extension of a concomitant septic process are those of NSAIDs. They must be assessed in relation to the expected analgesic benefit.",Box of 30,Tiaproffenic acid,Non-steroidal anti-inflammatory,,
